# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/fl/nwis/help/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2012-11-15 07:16:17 EST       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 02323500 SUWANNEE RIVER NEAR WILCOX, FLA.
# -----------------------------------------------------------------------------------
#
# Data provided for site 02323500
#    DD parameter statistic   Description
#    05   00055     00001     Stream velocity, feet per second (Maximum)
#    05   00055     00002     Stream velocity, feet per second (Minimum)
#    05   00055     00003     Stream velocity, feet per second (Mean)
#    06   00065     00003     Gage height, feet (Mean)
#    07   00060     00003     Discharge, cubic feet per second (Mean)
#    13   72020     00003     Elevation above NGVD 1929, feet (Mean)
#    15   00065     00003     Gage height, feet (Mean), [(2)]
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	05_00055_00001	05_00055_00001_cd	05_00055_00002	05_00055_00002_cd	05_00055_00003	05_00055_00003_cd	06_00065_00003	06_00065_00003_cd	07_00060_00003	07_00060_00003_cd	13_72020_00003	13_72020_00003_cd	15_00065_00003	15_00065_00003_cd
USGS	02323500	1942-04-28							7.68	A	15100	A	7.15	A		
USGS	02323500	1942-04-29							7.49	A	14700	A	6.96	A		
USGS	02323500	1942-04-30							7.33	A	14200	A	6.80	A		
USGS	02323500	1942-05-01									13900	A				
USGS	02323500	1942-05-02									13600	A				
USGS	02323500	1942-05-03							6.89	A	13400	A	6.36	A		
USGS	02323500	1942-05-04							6.72	A	13000	A	6.19	A		
USGS	02323500	1942-05-05							6.52	A	12600	A	5.99	A		
USGS	02323500	1942-05-06							6.32	A	12200	A	5.79	A		
USGS	02323500	1942-05-07							6.15	A	12000	A	5.62	A		
USGS	02323500	1942-05-08							6.02	A	11600	A	5.49	A		
USGS	02323500	1942-05-09							5.84	A	11200	A	5.31	A		
USGS	02323500	1942-05-10							5.67	A	11000	A	5.14	A		
USGS	02323500	1942-05-11							5.58	A	10800	A	5.05	A		
USGS	02323500	1942-05-12							5.59	A	10800	A	5.06	A		
USGS	02323500	1942-05-13							5.62	A	10800	A	5.09	A		
USGS	02323500	1942-05-14							5.58	A	10800	A	5.05	A		
USGS	02323500	1942-05-15									10500	A				
USGS	02323500	1942-05-16									10500	A				
USGS	02323500	1942-05-17									10500	A				
USGS	02323500	1942-05-18									10500	A				
USGS	02323500	1942-05-19									10500	A				
USGS	02323500	1942-05-20									10500	A				
USGS	02323500	1942-05-21									10000	A				
USGS	02323500	1942-05-22									10000	A				
USGS	02323500	1942-05-23									10000	A				
USGS	02323500	1942-05-24									10000	A				
USGS	02323500	1942-05-25									10000	A				
USGS	02323500	1942-05-26									9700	A				
USGS	02323500	1942-05-27									9700	A				
USGS	02323500	1942-05-28									9700	A				
USGS	02323500	1942-05-29									9700	A				
USGS	02323500	1942-05-30									9700	A				
USGS	02323500	1942-05-31									9700	A				
USGS	02323500	1942-06-01									9500	A				
USGS	02323500	1942-06-02									9500	A				
USGS	02323500	1942-06-03									9500	A				
USGS	02323500	1942-06-04									9500	A				
USGS	02323500	1942-06-05									9500	A				
USGS	02323500	1942-06-06									9300	A				
USGS	02323500	1942-06-07									9300	A				
USGS	02323500	1942-06-08									9300	A				
USGS	02323500	1942-06-09									9300	A				
USGS	02323500	1942-06-10									9300	A				
USGS	02323500	1942-06-11									9200	A				
USGS	02323500	1942-06-12									9200	A				
USGS	02323500	1942-06-13									9200	A				
USGS	02323500	1942-06-14									9200	A				
USGS	02323500	1942-06-15									9200	A				
USGS	02323500	1942-06-16									9400	A				
USGS	02323500	1942-06-17									9400	A				
USGS	02323500	1942-06-18									9400	A				
USGS	02323500	1942-06-19									9400	A				
USGS	02323500	1942-06-20									9400	A				
USGS	02323500	1942-06-21									9400	A				
USGS	02323500	1942-06-22									9400	A				
USGS	02323500	1942-06-23									9400	A				
USGS	02323500	1942-06-24									9400	A				
USGS	02323500	1942-06-25									9400	A				
USGS	02323500	1942-06-26									9200	A				
USGS	02323500	1942-06-27									9200	A				
USGS	02323500	1942-06-28									9200	A				
USGS	02323500	1942-06-29									9200	A				
USGS	02323500	1942-06-30									9200	A				
USGS	02323500	1942-07-01									9000	A				
USGS	02323500	1942-07-02									9000	A				
USGS	02323500	1942-07-03									9000	A				
USGS	02323500	1942-07-04									9000	A				
USGS	02323500	1942-07-05									9000	A				
USGS	02323500	1942-07-06									8800	A				
USGS	02323500	1942-07-07									8800	A				
USGS	02323500	1942-07-08									8800	A				
USGS	02323500	1942-07-09									8800	A				
USGS	02323500	1942-07-10									8800	A				
USGS	02323500	1942-07-11									8800	A				
USGS	02323500	1942-07-12									8800	A				
USGS	02323500	1942-07-13									8800	A				
USGS	02323500	1942-07-14									8800	A				
USGS	02323500	1942-07-15									8800	A				
USGS	02323500	1942-07-16									8500	A				
USGS	02323500	1942-07-17									8500	A				
USGS	02323500	1942-07-18									8500	A				
USGS	02323500	1942-07-19									8500	A				
USGS	02323500	1942-07-20									8500	A				
USGS	02323500	1942-07-21									8100	A				
USGS	02323500	1942-07-22									8100	A				
USGS	02323500	1942-07-23									8100	A				
USGS	02323500	1942-07-24									8100	A				
USGS	02323500	1942-07-25									8100	A				
USGS	02323500	1942-07-26									8200	A				
USGS	02323500	1942-07-27									8200	A				
USGS	02323500	1942-07-28									8200	A				
USGS	02323500	1942-07-29									8200	A				
USGS	02323500	1942-07-30									8200	A				
USGS	02323500	1942-07-31									8200	A				
USGS	02323500	1942-08-01									8000	A				
USGS	02323500	1942-08-02									8000	A				
USGS	02323500	1942-08-03									8000	A				
USGS	02323500	1942-08-04									8000	A				
USGS	02323500	1942-08-05									8000	A				
USGS	02323500	1942-08-06									7700	A				
USGS	02323500	1942-08-07									7700	A				
USGS	02323500	1942-08-08									7700	A				
USGS	02323500	1942-08-09									7700	A				
USGS	02323500	1942-08-10									7700	A				
USGS	02323500	1942-08-11									7500	A				
USGS	02323500	1942-08-12									7500	A				
USGS	02323500	1942-08-13									7500	A				
USGS	02323500	1942-08-14									7500	A				
USGS	02323500	1942-08-15									7500	A				
USGS	02323500	1942-08-16									7600	A				
USGS	02323500	1942-08-17									7600	A				
USGS	02323500	1942-08-18									7600	A				
USGS	02323500	1942-08-19									7600	A				
USGS	02323500	1942-08-20									7600	A				
USGS	02323500	1942-08-21									8000	A				
USGS	02323500	1942-08-22									8000	A				
USGS	02323500	1942-08-23									8000	A				
USGS	02323500	1942-08-24									8000	A				
USGS	02323500	1942-08-25									8000	A				
USGS	02323500	1942-08-26									8000	A				
USGS	02323500	1942-08-27									8000	A				
USGS	02323500	1942-08-28									8000	A				
USGS	02323500	1942-08-29									8000	A				
USGS	02323500	1942-08-30									8000	A				
USGS	02323500	1942-08-31									8000	A				
USGS	02323500	1942-09-01									7600	A				
USGS	02323500	1942-09-02									7600	A				
USGS	02323500	1942-09-03									7600	A				
USGS	02323500	1942-09-04									7600	A				
USGS	02323500	1942-09-05									7600	A				
USGS	02323500	1942-09-06									7600	A				
USGS	02323500	1942-09-07									7600	A				
USGS	02323500	1942-09-08									7600	A				
USGS	02323500	1942-09-09									7600	A				
USGS	02323500	1942-09-10									7600	A				
USGS	02323500	1942-09-11									7600	A				
USGS	02323500	1942-09-12									7600	A				
USGS	02323500	1942-09-13									7600	A				
USGS	02323500	1942-09-14									7600	A				
USGS	02323500	1942-09-15									7600	A				
USGS	02323500	1942-09-16									7500	A				
USGS	02323500	1942-09-17									7500	A				
USGS	02323500	1942-09-18									7500	A				
USGS	02323500	1942-09-19									7500	A				
USGS	02323500	1942-09-20									7500	A				
USGS	02323500	1942-09-21									7200	A				
USGS	02323500	1942-09-22									7200	A				
USGS	02323500	1942-09-23									7200	A				
USGS	02323500	1942-09-24									7200	A				
USGS	02323500	1942-09-25									7200	A				
USGS	02323500	1942-09-26									7200	A				
USGS	02323500	1942-09-27									7200	A				
USGS	02323500	1942-09-28									7200	A				
USGS	02323500	1942-09-29									7200	A				
USGS	02323500	1942-09-30									7200	A				
USGS	02323500	1942-10-01									6850	A				
USGS	02323500	1942-10-02									6850	A				
USGS	02323500	1942-10-03									6850	A				
USGS	02323500	1942-10-04									6850	A				
USGS	02323500	1942-10-05									6850	A				
USGS	02323500	1942-10-06									6850	A				
USGS	02323500	1942-10-07									6850	A				
USGS	02323500	1942-10-08									6850	A				
USGS	02323500	1942-10-09									6850	A				
USGS	02323500	1942-10-10									6850	A				
USGS	02323500	1942-10-11									6850	A				
USGS	02323500	1942-10-12									6850	A				
USGS	02323500	1942-10-13									6850	A				
USGS	02323500	1942-10-14									6850	A				
USGS	02323500	1942-10-15									6850	A				
USGS	02323500	1942-10-16									6850	A				
USGS	02323500	1942-10-17									6850	A				
USGS	02323500	1942-10-18									6850	A				
USGS	02323500	1942-10-19									6850	A				
USGS	02323500	1942-10-20									6850	A				
USGS	02323500	1942-10-21									6850	A				
USGS	02323500	1942-10-22									6850	A				
USGS	02323500	1942-10-23									6850	A				
USGS	02323500	1942-10-24									6850	A				
USGS	02323500	1942-10-25									6850	A				
USGS	02323500	1942-10-26									6850	A				
USGS	02323500	1942-10-27									6850	A				
USGS	02323500	1942-10-28									6850	A				
USGS	02323500	1942-10-29									6850	A				
USGS	02323500	1942-10-30									6850	A				
USGS	02323500	1942-10-31									6850	A				
USGS	02323500	1942-11-01									5700	A				
USGS	02323500	1942-11-02									5700	A				
USGS	02323500	1942-11-03									5700	A				
USGS	02323500	1942-11-04									5700	A				
USGS	02323500	1942-11-05									5700	A				
USGS	02323500	1942-11-06									5700	A				
USGS	02323500	1942-11-07									5700	A				
USGS	02323500	1942-11-08									5700	A				
USGS	02323500	1942-11-09									5700	A				
USGS	02323500	1942-11-10									5700	A				
USGS	02323500	1942-11-11									5700	A				
USGS	02323500	1942-11-12									5700	A				
USGS	02323500	1942-11-13									5700	A				
USGS	02323500	1942-11-14									5700	A				
USGS	02323500	1942-11-15									5700	A				
USGS	02323500	1942-11-16									5700	A				
USGS	02323500	1942-11-17									5700	A				
USGS	02323500	1942-11-18									5700	A				
USGS	02323500	1942-11-19									5700	A				
USGS	02323500	1942-11-20									5700	A				
USGS	02323500	1942-11-21									5700	A				
USGS	02323500	1942-11-22									5700	A				
USGS	02323500	1942-11-23									5700	A				
USGS	02323500	1942-11-24									5700	A				
USGS	02323500	1942-11-25									5700	A				
USGS	02323500	1942-11-26									5700	A				
USGS	02323500	1942-11-27									5700	A				
USGS	02323500	1942-11-28									5700	A				
USGS	02323500	1942-11-29									5700	A				
USGS	02323500	1942-11-30									5700	A				
USGS	02323500	1942-12-01									5400	A				
USGS	02323500	1942-12-02									5400	A				
USGS	02323500	1942-12-03									5400	A				
USGS	02323500	1942-12-04									5400	A				
USGS	02323500	1942-12-05									5400	A				
USGS	02323500	1942-12-06									5400	A				
USGS	02323500	1942-12-07									5400	A				
USGS	02323500	1942-12-08									5400	A				
USGS	02323500	1942-12-09									5400	A				
USGS	02323500	1942-12-10									5400	A				
USGS	02323500	1942-12-11									5400	A				
USGS	02323500	1942-12-12									5400	A				
USGS	02323500	1942-12-13									5400	A				
USGS	02323500	1942-12-14									5400	A				
USGS	02323500	1942-12-15									5400	A				
USGS	02323500	1942-12-16									5400	A				
USGS	02323500	1942-12-17									5400	A				
USGS	02323500	1942-12-18									5400	A				
USGS	02323500	1942-12-19									5400	A				
USGS	02323500	1942-12-20									5400	A				
USGS	02323500	1942-12-21									5400	A				
USGS	02323500	1942-12-22									5400	A				
USGS	02323500	1942-12-23									5400	A				
USGS	02323500	1942-12-24									5400	A				
USGS	02323500	1942-12-25									5400	A				
USGS	02323500	1942-12-26									5400	A				
USGS	02323500	1942-12-27									5400	A				
USGS	02323500	1942-12-28									5400	A				
USGS	02323500	1942-12-29									5400	A				
USGS	02323500	1942-12-30									5400	A				
USGS	02323500	1942-12-31									5400	A				
USGS	02323500	1943-01-01									5900	A				
USGS	02323500	1943-01-02									5900	A				
USGS	02323500	1943-01-03									5900	A				
USGS	02323500	1943-01-04									5900	A				
USGS	02323500	1943-01-05									5900	A				
USGS	02323500	1943-01-06									5900	A				
USGS	02323500	1943-01-07									5900	A				
USGS	02323500	1943-01-08									5900	A				
USGS	02323500	1943-01-09									5900	A				
USGS	02323500	1943-01-10									5900	A				
USGS	02323500	1943-01-11									5900	A				
USGS	02323500	1943-01-12									5900	A				
USGS	02323500	1943-01-13									5900	A				
USGS	02323500	1943-01-14									5900	A				
USGS	02323500	1943-01-15									5900	A				
USGS	02323500	1943-01-16									5900	A				
USGS	02323500	1943-01-17									5900	A				
USGS	02323500	1943-01-18									5900	A				
USGS	02323500	1943-01-19									5900	A				
USGS	02323500	1943-01-20									5900	A				
USGS	02323500	1943-01-21									5900	A				
USGS	02323500	1943-01-22									5900	A				
USGS	02323500	1943-01-23									5900	A				
USGS	02323500	1943-01-24									5900	A				
USGS	02323500	1943-01-25									5900	A				
USGS	02323500	1943-01-26									5900	A				
USGS	02323500	1943-01-27									5900	A				
USGS	02323500	1943-01-28									5900	A				
USGS	02323500	1943-01-29									5900	A				
USGS	02323500	1943-01-30									5900	A				
USGS	02323500	1943-01-31									5900	A				
USGS	02323500	1943-02-01									6900	A				
USGS	02323500	1943-02-02									6900	A				
USGS	02323500	1943-02-03									6900	A				
USGS	02323500	1943-02-04									6900	A				
USGS	02323500	1943-02-05									6900	A				
USGS	02323500	1943-02-06									6900	A				
USGS	02323500	1943-02-07									6900	A				
USGS	02323500	1943-02-08									6900	A				
USGS	02323500	1943-02-09									6900	A				
USGS	02323500	1943-02-10									6900	A				
USGS	02323500	1943-02-11									6900	A				
USGS	02323500	1943-02-12									6900	A				
USGS	02323500	1943-02-13									6900	A				
USGS	02323500	1943-02-14									6900	A				
USGS	02323500	1943-02-15									6900	A				
USGS	02323500	1943-02-16									6900	A				
USGS	02323500	1943-02-17									6900	A				
USGS	02323500	1943-02-18									6900	A				
USGS	02323500	1943-02-19									6900	A				
USGS	02323500	1943-02-20									6900	A				
USGS	02323500	1943-02-21									6900	A				
USGS	02323500	1943-02-22									6900	A				
USGS	02323500	1943-02-23									6900	A				
USGS	02323500	1943-02-24									6900	A				
USGS	02323500	1943-02-25									6900	A				
USGS	02323500	1943-02-26									6900	A				
USGS	02323500	1943-02-27									6900	A				
USGS	02323500	1943-02-28									6900	A				
USGS	02323500	1943-03-01									8000	A				
USGS	02323500	1943-03-02									8000	A				
USGS	02323500	1943-03-03									8000	A				
USGS	02323500	1943-03-04									8000	A				
USGS	02323500	1943-03-05									8000	A				
USGS	02323500	1943-03-06									8000	A				
USGS	02323500	1943-03-07									8000	A				
USGS	02323500	1943-03-08									8000	A				
USGS	02323500	1943-03-09									8000	A				
USGS	02323500	1943-03-10									8000	A				
USGS	02323500	1943-03-11									8000	A				
USGS	02323500	1943-03-12									8000	A				
USGS	02323500	1943-03-13									8000	A				
USGS	02323500	1943-03-14									8000	A				
USGS	02323500	1943-03-15									8000	A				
USGS	02323500	1943-03-16									8000	A				
USGS	02323500	1943-03-17									8000	A				
USGS	02323500	1943-03-18									8000	A				
USGS	02323500	1943-03-19									8000	A				
USGS	02323500	1943-03-20									8000	A				
USGS	02323500	1943-03-21									8000	A				
USGS	02323500	1943-03-22									8000	A				
USGS	02323500	1943-03-23									8000	A				
USGS	02323500	1943-03-24									8000	A				
USGS	02323500	1943-03-25									8000	A				
USGS	02323500	1943-03-26									8000	A				
USGS	02323500	1943-03-27									8000	A				
USGS	02323500	1943-03-28									8000	A				
USGS	02323500	1943-03-29									8000	A				
USGS	02323500	1943-03-30									8000	A				
USGS	02323500	1943-03-31									8000	A				
USGS	02323500	1943-04-01									7450	A				
USGS	02323500	1943-04-02									7450	A				
USGS	02323500	1943-04-03									7450	A				
USGS	02323500	1943-04-04									7450	A				
USGS	02323500	1943-04-05									7450	A				
USGS	02323500	1943-04-06									7450	A				
USGS	02323500	1943-04-07									7450	A				
USGS	02323500	1943-04-08									7450	A				
USGS	02323500	1943-04-09									7450	A				
USGS	02323500	1943-04-10									7450	A				
USGS	02323500	1943-04-11									7450	A				
USGS	02323500	1943-04-12									7450	A				
USGS	02323500	1943-04-13									7450	A				
