# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/nwis/help/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2012-11-15 07:32:13 EST       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 02366500 CHOCTAWHATCHEE RIVER NR BRUCE, FLA.
# -----------------------------------------------------------------------------------
#
# Data provided for site 02366500
#    DD parameter statistic   Description
#    02   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	02_00060_00003	02_00060_00003_cd
USGS	02366500	1931-03-19	6240	A
USGS	02366500	1931-03-20	5860	A
USGS	02366500	1931-03-21	5500	A
USGS	02366500	1931-03-22	5330	A
USGS	02366500	1931-03-23	5070	A
USGS	02366500	1931-03-24	4960	A
USGS	02366500	1931-03-25	4960	A
USGS	02366500	1931-03-26	4960	A
USGS	02366500	1931-03-27	4960	A
USGS	02366500	1931-03-28	5190	A
USGS	02366500	1931-03-29	5500	A
USGS	02366500	1931-03-30	5860	A
USGS	02366500	1931-03-31	6630	A
USGS	02366500	1931-04-01	7230	A
USGS	02366500	1931-04-02	7830	A
USGS	02366500	1931-04-03	7830	A
USGS	02366500	1931-04-04	7830	A
USGS	02366500	1931-04-05	7430	A
USGS	02366500	1931-04-06	7230	A
USGS	02366500	1931-04-07	7230	A
USGS	02366500	1931-04-08	7230	A
USGS	02366500	1931-04-09	7430	A
USGS	02366500	1931-04-10	7830	A
USGS	02366500	1931-04-11	8300	A
USGS	02366500	1931-04-12	8800	A
USGS	02366500	1931-04-13	8550	A
USGS	02366500	1931-04-14	8050	A
USGS	02366500	1931-04-15	7630	A
USGS	02366500	1931-04-16	7030	A
USGS	02366500	1931-04-17	6240	A
USGS	02366500	1931-04-18	5680	A
USGS	02366500	1931-04-19	5190	A
USGS	02366500	1931-04-20	4860	A
USGS	02366500	1931-04-21	4680	A
USGS	02366500	1931-04-22	4600	A
USGS	02366500	1931-04-23	4520	A
USGS	02366500	1931-04-24	4680	A
USGS	02366500	1931-04-25	4860	A
USGS	02366500	1931-04-26	5070	A
USGS	02366500	1931-04-27	5190	A
USGS	02366500	1931-04-28	5190	A
USGS	02366500	1931-04-29	5190	A
USGS	02366500	1931-04-30	4960	A
USGS	02366500	1931-05-01	4770	A
USGS	02366500	1931-05-02	4680	A
USGS	02366500	1931-05-03	4520	A
USGS	02366500	1931-05-04	4440	A
USGS	02366500	1931-05-05	4440	A
USGS	02366500	1931-05-06	4440	A
USGS	02366500	1931-05-07	4520	A
USGS	02366500	1931-05-08	4520	A
USGS	02366500	1931-05-09	4600	A
USGS	02366500	1931-05-10	4860	A
USGS	02366500	1931-05-11	5190	A
USGS	02366500	1931-05-12	5860	A
USGS	02366500	1931-05-13	6430	A
USGS	02366500	1931-05-14	6630	A
USGS	02366500	1931-05-15	6430	A
USGS	02366500	1931-05-16	5860	A
USGS	02366500	1931-05-17	5070	A
USGS	02366500	1931-05-18	4520	A
USGS	02366500	1931-05-19	4040	A
USGS	02366500	1931-05-20	3720	A
USGS	02366500	1931-05-21	3560	A
USGS	02366500	1931-05-22	3480	A
USGS	02366500	1931-05-23	3480	A
USGS	02366500	1931-05-24	3800	A
USGS	02366500	1931-05-25	3960	A
USGS	02366500	1931-05-26	3880	A
USGS	02366500	1931-05-27	3720	A
USGS	02366500	1931-05-28	3400	A
USGS	02366500	1931-05-29	3320	A
USGS	02366500	1931-05-30	3080	A
USGS	02366500	1931-05-31	2920	A
USGS	02366500	1931-06-01	2840	A
USGS	02366500	1931-06-02	2680	A
USGS	02366500	1931-06-03	2600	A
USGS	02366500	1931-06-04	2530	A
USGS	02366500	1931-06-05	2460	A
USGS	02366500	1931-06-06	2380	A
USGS	02366500	1931-06-07	2380	A
USGS	02366500	1931-06-08	2380	A
USGS	02366500	1931-06-09	2300	A
USGS	02366500	1931-06-10	2230	A
USGS	02366500	1931-06-11	2080	A
USGS	02366500	1931-06-12	2080	A
USGS	02366500	1931-06-13	2080	A
USGS	02366500	1931-06-14	2080	A
USGS	02366500	1931-06-15	2080	A
USGS	02366500	1931-06-16	2080	A
USGS	02366500	1931-06-17	2080	A
USGS	02366500	1931-06-18	2080	A
USGS	02366500	1931-06-19	2080	A
USGS	02366500	1931-06-20	2080	A
USGS	02366500	1931-06-21	2080	A
USGS	02366500	1931-06-22	2080	A
USGS	02366500	1931-06-23	2160	A
USGS	02366500	1931-06-24	2230	A
USGS	02366500	1931-06-25	2530	A
USGS	02366500	1931-06-26	2680	A
USGS	02366500	1931-06-27	2530	A
USGS	02366500	1931-06-28	2300	A
USGS	02366500	1931-06-29	2160	A
USGS	02366500	1931-06-30	2080	A
USGS	02366500	1931-07-01	2000	A
USGS	02366500	1931-07-02	2000	A
USGS	02366500	1931-07-03	1930	A
USGS	02366500	1931-07-04	1930	A
USGS	02366500	1931-07-05	1930	A
USGS	02366500	1931-07-06	1930	A
USGS	02366500	1931-07-07	1930	A
USGS	02366500	1931-07-08	1930	A
USGS	02366500	1931-07-09	1930	A
USGS	02366500	1931-07-10	1930	A
USGS	02366500	1931-07-11	2080	A
USGS	02366500	1931-07-12	2230	A
USGS	02366500	1931-07-13	2300	A
USGS	02366500	1931-07-14	2380	A
USGS	02366500	1931-07-15	2600	A
USGS	02366500	1931-07-16	3000	A
USGS	02366500	1931-07-17	3160	A
USGS	02366500	1931-07-18	3480	A
USGS	02366500	1931-07-19	3640	A
USGS	02366500	1931-07-20	3480	A
USGS	02366500	1931-07-21	3400	A
USGS	02366500	1931-07-22	3480	A
USGS	02366500	1931-07-23	3720	A
USGS	02366500	1931-07-24	3880	A
USGS	02366500	1931-07-25	4040	A
USGS	02366500	1931-07-26	4040	A
USGS	02366500	1931-07-27	4120	A
USGS	02366500	1931-07-28	4200	A
USGS	02366500	1931-07-29	4440	A
USGS	02366500	1931-07-30	4440	A
USGS	02366500	1931-07-31	4440	A
USGS	02366500	1931-08-01	4200	A
USGS	02366500	1931-08-02	3800	A
USGS	02366500	1931-08-03	3320	A
USGS	02366500	1931-08-04	2920	A
USGS	02366500	1931-08-05	2680	A
USGS	02366500	1931-08-06	2600	A
USGS	02366500	1931-08-07	2530	A
USGS	02366500	1931-08-08	2530	A
USGS	02366500	1931-08-09	2840	A
USGS	02366500	1931-08-10	3320	A
USGS	02366500	1931-08-11	3960	A
USGS	02366500	1931-08-12	4600	A
USGS	02366500	1931-08-13	5680	A
USGS	02366500	1931-08-14	7030	A
USGS	02366500	1931-08-15	9300	A
USGS	02366500	1931-08-16	10300	A
USGS	02366500	1931-08-17	9800	A
USGS	02366500	1931-08-18	8800	A
USGS	02366500	1931-08-19	7630	A
USGS	02366500	1931-08-20	6830	A
USGS	02366500	1931-08-21	5860	A
USGS	02366500	1931-08-22	5190	A
USGS	02366500	1931-08-23	4680	A
USGS	02366500	1931-08-24	4600	A
USGS	02366500	1931-08-25	4520	A
USGS	02366500	1931-08-26	4280	A
USGS	02366500	1931-08-27	3960	A
USGS	02366500	1931-08-28	3560	A
USGS	02366500	1931-08-29	3320	A
USGS	02366500	1931-08-30	3320	A
USGS	02366500	1931-08-31	3240	A
USGS	02366500	1931-09-01	3160	A
USGS	02366500	1931-09-02	3080	A
USGS	02366500	1931-09-03	2920	A
USGS	02366500	1931-09-04	2840	A
USGS	02366500	1931-09-05	2840	A
USGS	02366500	1931-09-06	2760	A
USGS	02366500	1931-09-07	2680	A
USGS	02366500	1931-09-08	2460	A
USGS	02366500	1931-09-09	2380	A
USGS	02366500	1931-09-10	2230	A
USGS	02366500	1931-09-11	2600	A
USGS	02366500	1931-09-12	2760	A
USGS	02366500	1931-09-13	2920	A
USGS	02366500	1931-09-14	3000	A
USGS	02366500	1931-09-15	3080	A
USGS	02366500	1931-09-16	2920	A
USGS	02366500	1931-09-17	2840	A
USGS	02366500	1931-09-18	2840	A
USGS	02366500	1931-09-19	2680	A
USGS	02366500	1931-09-20	2460	A
USGS	02366500	1931-09-21	2380	A
USGS	02366500	1931-09-22	2300	A
USGS	02366500	1931-09-23	2160	A
USGS	02366500	1931-09-24	2080	A
USGS	02366500	1931-09-25	2000	A
USGS	02366500	1931-09-26	2000	A
USGS	02366500	1931-09-27	2000	A
USGS	02366500	1931-09-28	1930	A
USGS	02366500	1931-09-29	1930	A
USGS	02366500	1931-09-30	1930	A
USGS	02366500	1931-10-01	1890	A
USGS	02366500	1931-10-02	1890	A
USGS	02366500	1931-10-03	1860	A
USGS	02366500	1931-10-04	1860	A
USGS	02366500	1931-10-05	1860	A
USGS	02366500	1931-10-06	1820	A
USGS	02366500	1931-10-07	1890	A
USGS	02366500	1931-10-08	2230	A
USGS	02366500	1931-10-09	2530	A
USGS	02366500	1931-10-10	2760	A
USGS	02366500	1931-10-11	2920	A
USGS	02366500	1931-10-12	2920	A
USGS	02366500	1931-10-13	2760	A
USGS	02366500	1931-10-14	2530	A
USGS	02366500	1931-10-15	2380	A
USGS	02366500	1931-10-16	2230	A
USGS	02366500	1931-10-17	2160	A
USGS	02366500	1931-10-18	2080	A
USGS	02366500	1931-10-19	2000	A
USGS	02366500	1931-10-20	1930	A
USGS	02366500	1931-10-21	1860	A
USGS	02366500	1931-10-22	1860	A
USGS	02366500	1931-10-23	1820	A
USGS	02366500	1931-10-24	1820	A
USGS	02366500	1931-10-25	1780	A
USGS	02366500	1931-10-26	1780	A
USGS	02366500	1931-10-27	1780	A
USGS	02366500	1931-10-28	1780	A
USGS	02366500	1931-10-29	1780	A
USGS	02366500	1931-10-30	1780	A
USGS	02366500	1931-10-31	1780	A
USGS	02366500	1931-11-01	1780	A
USGS	02366500	1931-11-02	1780	A
USGS	02366500	1931-11-03	1740	A
USGS	02366500	1931-11-04	1740	A
USGS	02366500	1931-11-05	1710	A
USGS	02366500	1931-11-06	1710	A
USGS	02366500	1931-11-07	1710	A
USGS	02366500	1931-11-08	1710	A
USGS	02366500	1931-11-09	1710	A
USGS	02366500	1931-11-10	1710	A
USGS	02366500	1931-11-11	1680	A
USGS	02366500	1931-11-12	1680	A
USGS	02366500	1931-11-13	1680	A
USGS	02366500	1931-11-14	1740	A
USGS	02366500	1931-11-15	1740	A
USGS	02366500	1931-11-16	1710	A
USGS	02366500	1931-11-17	1710	A
USGS	02366500	1931-11-18	1780	A
USGS	02366500	1931-11-19	1780	A
USGS	02366500	1931-11-20	1860	A
USGS	02366500	1931-11-21	1860	A
USGS	02366500	1931-11-22	1930	A
USGS	02366500	1931-11-23	1930	A
USGS	02366500	1931-11-24	2000	A
USGS	02366500	1931-11-25	2080	A
USGS	02366500	1931-11-26	1930	A
USGS	02366500	1931-11-27	1890	A
USGS	02366500	1931-11-28	1890	A
USGS	02366500	1931-11-29	1890	A
USGS	02366500	1931-11-30	1890	A
USGS	02366500	1931-12-01	1930	A
USGS	02366500	1931-12-02	1930	A
USGS	02366500	1931-12-03	1890	A
USGS	02366500	1931-12-04	1930	A
USGS	02366500	1931-12-05	1930	A
USGS	02366500	1931-12-06	1930	A
USGS	02366500	1931-12-07	1930	A
USGS	02366500	1931-12-08	2000	A
USGS	02366500	1931-12-09	2380	A
USGS	02366500	1931-12-10	2600	A
USGS	02366500	1931-12-11	2840	A
USGS	02366500	1931-12-12	3080	A
USGS	02366500	1931-12-13	3160	A
USGS	02366500	1931-12-14	3080	A
USGS	02366500	1931-12-15	2920	A
USGS	02366500	1931-12-16	2680	A
USGS	02366500	1931-12-17	2680	A
USGS	02366500	1931-12-18	2600	A
USGS	02366500	1931-12-19	2600	A
USGS	02366500	1931-12-20	2680	A
USGS	02366500	1931-12-21	2840	A
USGS	02366500	1931-12-22	3240	A
USGS	02366500	1931-12-23	3800	A
USGS	02366500	1931-12-24	4200	A
USGS	02366500	1931-12-25	4440	A
USGS	02366500	1931-12-26	4600	A
USGS	02366500	1931-12-27	4680	A
USGS	02366500	1931-12-28	4680	A
USGS	02366500	1931-12-29	4600	A
USGS	02366500	1931-12-30	4440	A
USGS	02366500	1931-12-31	4280	A
USGS	02366500	1932-01-01	4200	A
USGS	02366500	1932-01-02	4200	A
USGS	02366500	1932-01-03	4280	A
USGS	02366500	1932-01-04	4360	A
USGS	02366500	1932-01-05	4520	A
USGS	02366500	1932-01-06	4960	A
USGS	02366500	1932-01-07	5190	A
USGS	02366500	1932-01-08	5680	A
USGS	02366500	1932-01-09	6240	A
USGS	02366500	1932-01-10	7030	A
USGS	02366500	1932-01-11	8550	A
USGS	02366500	1932-01-12	10600	A
USGS	02366500	1932-01-13	13200	A
USGS	02366500	1932-01-14	14400	A
USGS	02366500	1932-01-15	14400	A
USGS	02366500	1932-01-16	13600	A
USGS	02366500	1932-01-17	16300	A
USGS	02366500	1932-01-18	20400	A
USGS	02366500	1932-01-19	21700	A
USGS	02366500	1932-01-20	20800	A
USGS	02366500	1932-01-21	17900	A
USGS	02366500	1932-01-22	15800	A
USGS	02366500	1932-01-23	12800	A
USGS	02366500	1932-01-24	10900	A
USGS	02366500	1932-01-25	9550	A
USGS	02366500	1932-01-26	8550	A
USGS	02366500	1932-01-27	7630	A
USGS	02366500	1932-01-28	7030	A
USGS	02366500	1932-01-29	6630	A
USGS	02366500	1932-01-30	6630	A
USGS	02366500	1932-01-31	6430	A
USGS	02366500	1932-02-01	6430	A
USGS	02366500	1932-02-02	6630	A
USGS	02366500	1932-02-03	6630	A
USGS	02366500	1932-02-04	6630	A
USGS	02366500	1932-02-05	6630	A
USGS	02366500	1932-02-06	6630	A
USGS	02366500	1932-02-07	6430	A
USGS	02366500	1932-02-08	6240	A
USGS	02366500	1932-02-09	6050	A
USGS	02366500	1932-02-10	5860	A
USGS	02366500	1932-02-11	5860	A
USGS	02366500	1932-02-12	5680	A
USGS	02366500	1932-02-13	5500	A
USGS	02366500	1932-02-14	5330	A
USGS	02366500	1932-02-15	5190	A
USGS	02366500	1932-02-16	5070	A
USGS	02366500	1932-02-17	4960	A
USGS	02366500	1932-02-18	4770	A
USGS	02366500	1932-02-19	4770	A
USGS	02366500	1932-02-20	4680	A
USGS	02366500	1932-02-21	4770	A
USGS	02366500	1932-02-22	4960	A
USGS	02366500	1932-02-23	5330	A
USGS	02366500	1932-02-24	5860	A
USGS	02366500	1932-02-25	6240	A
USGS	02366500	1932-02-26	7030	A
USGS	02366500	1932-02-27	7830	A
USGS	02366500	1932-02-28	8800	A
USGS	02366500	1932-02-29	9300	A
USGS	02366500	1932-03-01	9300	A
USGS	02366500	1932-03-02	8800	A
USGS	02366500	1932-03-03	8550	A
USGS	02366500	1932-03-04	7830	A
USGS	02366500	1932-03-05	7230	A
USGS	02366500	1932-03-06	6830	A
USGS	02366500	1932-03-07	6430	A
USGS	02366500	1932-03-08	6050	A
USGS	02366500	1932-03-09	6240	A
USGS	02366500	1932-03-10	6630	A
USGS	02366500	1932-03-11	7030	A
USGS	02366500	1932-03-12	7630	A
USGS	02366500	1932-03-13	7630	A
USGS	02366500	1932-03-14	7430	A
USGS	02366500	1932-03-15	7030	A
USGS	02366500	1932-03-16	6630	A
USGS	02366500	1932-03-17	6240	A
USGS	02366500	1932-03-18	5860	A
USGS	02366500	1932-03-19	5680	A
USGS	02366500	1932-03-20	5500	A
USGS	02366500	1932-03-21	5330	A
USGS	02366500	1932-03-22	5500	A
USGS	02366500	1932-03-23	5500	A
USGS	02366500	1932-03-24	5500	A
USGS	02366500	1932-03-25	5190	A
USGS	02366500	1932-03-26	5070	A
USGS	02366500	1932-03-27	4860	A
USGS	02366500	1932-03-28	4680	A
USGS	02366500	1932-03-29	4600	A
USGS	02366500	1932-03-30	4440	A
USGS	02366500	1932-03-31	4520	A
USGS	02366500	1932-04-01	4600	A
USGS	02366500	1932-04-02	4600	A
USGS	02366500	1932-04-03	4680	A
USGS	02366500	1932-04-04	4860	A
USGS	02366500	1932-04-05	5070	A
USGS	02366500	1932-04-06	5190	A
USGS	02366500	1932-04-07	5330	A
USGS	02366500	1932-04-08	5190	A
USGS	02366500	1932-04-09	4960	A
USGS	02366500	1932-04-10	4680	A
USGS	02366500	1932-04-11	4520	A
USGS	02366500	1932-04-12	4360	A
USGS	02366500	1932-04-13	4280	A
USGS	02366500	1932-04-14	4200	A
USGS	02366500	1932-04-15	4200	A
USGS	02366500	1932-04-16	4120	A
USGS	02366500	1932-04-17	3960	A
USGS	02366500	1932-04-18	3880	A
USGS	02366500	1932-04-19	3720	A
USGS	02366500	1932-04-20	3640	A
USGS	02366500	1932-04-21	3640	A
USGS	02366500	1932-04-22	3640	A
USGS	02366500	1932-04-23	3640	A
USGS	02366500	1932-04-24	3640	A
USGS	02366500	1932-04-25	3480	A
USGS	02366500	1932-04-26	3320	A
USGS	02366500	1932-04-27	3160	A
USGS	02366500	1932-04-28	3080	A
USGS	02366500	1932-04-29	3000	A
USGS	02366500	1932-04-30	3000	A
USGS	02366500	1932-05-01	3160	A
USGS	02366500	1932-05-02	3240	A
USGS	02366500	1932-05-03	3480	A
USGS	02366500	1932-05-04	3720	A
USGS	02366500	1932-05-05	3800	A
USGS	02366500	1932-05-06	3560	A
USGS	02366500	1932-05-07	3320	A
USGS	02366500	1932-05-08	3080	A
USGS	02366500	1932-05-09	2840	A
USGS	02366500	1932-05-10	2680	A
USGS	02366500	1932-05-11	2600	A
USGS	02366500	1932-05-12	2530	A
USGS	02366500	1932-05-13	2460	A
USGS	02366500	1932-05-14	2380	A
USGS	02366500	1932-05-15	2300	A
USGS	02366500	1932-05-16	2230	A
USGS	02366500	1932-05-17	2230	A
USGS	02366500	1932-05-18	2760	A
USGS	02366500	1932-05-19	3800	A
USGS	02366500	1932-05-20	4770	A
USGS	02366500	1932-05-21	5860	A
USGS	02366500	1932-05-22	6630	A
USGS	02366500	1932-05-23	7830	A
USGS	02366500	1932-05-24	8800	A
USGS	02366500	1932-05-25	10300	A
USGS	02366500	1932-05-26	12100	A
USGS	02366500	1932-05-27	13200	A
USGS	02366500	1932-05-28	13200	A
USGS	02366500	1932-05-29	12800	A
USGS	02366500	1932-05-30	12100	A
USGS	02366500	1932-05-31	11500	A
USGS	02366500	1932-06-01	10600	A
USGS	02366500	1932-06-02	9550	A
USGS	02366500	1932-06-03	8800	A
USGS	02366500	1932-06-04	7630	A
USGS	02366500	1932-06-05	6430	A
USGS	02366500	1932-06-06	5190	A
USGS	02366500	1932-06-07	4440	A
USGS	02366500	1932-06-08	4040	A
USGS	02366500	1932-06-09	3880	A
USGS	02366500	1932-06-10	3880	A
USGS	02366500	1932-06-11	3880	A
USGS	02366500	1932-06-12	4120	A
USGS	02366500	1932-06-13	4440	A
USGS	02366500	1932-06-14	4770	A
USGS	02366500	1932-06-15	5500	A
USGS	02366500	1932-06-16	6630	A
USGS	02366500	1932-06-17	7630	A
USGS	02366500	1932-06-18	8300	A
USGS	02366500	1932-06-19	9800	A
USGS	02366500	1932-06-20	11800	A
USGS	02366500	1932-06-21	12400	A
USGS	02366500	1932-06-22	12800	A
USGS	02366500	1932-06-23	12100	A
USGS	02366500	1932-06-24	11200	A
USGS	02366500	1932-06-25	10300	A
USGS	02366500	1932-06-26	9050	A
USGS	02366500	1932-06-27	7830	A
USGS	02366500	1932-06-28	7030	A
USGS	02366500	1932-06-29	6050	A
USGS	02366500	1932-06-30	5330	A
USGS	02366500	1932-07-01	4860	A
USGS	02366500	1932-07-02	4770	A
USGS	02366500	1932-07-03	4860	A
USGS	02366500	1932-07-04	4960	A
USGS	02366500	1932-07-05	5190	A
USGS	02366500	1932-07-06	5500	A
USGS	02366500	1932-07-07	5680	A
USGS	02366500	1932-07-08	5860	A
USGS	02366500	1932-07-09	5680	A
USGS	02366500	1932-07-10	5500	A
USGS	02366500	1932-07-11	5190	A
USGS	02366500	1932-07-12	4770	A
USGS	02366500	1932-07-13	4360	A
USGS	02366500	1932-07-14	3960	A
USGS	02366500	1932-07-15	3640	A
USGS	02366500	1932-07-16	3320	A
USGS	02366500	1932-07-17	3080	A
USGS	02366500	1932-07-18	2920	A
USGS	02366500	1932-07-19	2840	A
USGS	02366500	1932-07-20	2760	A
USGS	02366500	1932-07-21	2760	A
USGS	02366500	1932-07-22	2760	A
USGS	02366500	1932-07-23	2840	A
USGS	02366500	1932-07-24	2920	A
USGS	02366500	1932-07-25	2920	A
USGS	02366500	1932-07-26	3000	A
USGS	02366500	1932-07-27	3240	A
USGS	02366500	1932-07-28	3400	A
USGS	02366500	1932-07-29	3960	A
USGS	02366500	1932-07-30	4440	A
USGS	02366500	1932-07-31	4860	A
USGS	02366500	1932-08-01	5500	A
USGS	02366500	1932-08-02	6240	A
USGS	02366500	1932-08-03	6830	A
USGS	02366500	1932-08-04	7030	A
USGS	02366500	1932-08-05	7030	A
USGS	02366500	1932-08-06	7030	A
USGS	02366500	1932-08-07	7030	A
USGS	02366500	1932-08-08	7030	A
USGS	02366500	1932-08-09	7230	A
USGS	02366500	1932-08-10	7430	A
USGS	02366500	1932-08-11	8050	A
USGS	02366500	1932-08-12	8800	A
USGS	02366500	1932-08-13	8800	A
USGS	02366500	1932-08-14	8050	A
USGS	02366500	1932-08-15	7230	A
USGS	02366500	1932-08-16	6630	A
USGS	02366500	1932-08-17	6050	A
USGS	02366500	1932-08-18	6050	A
USGS	02366500	1932-08-19	5500	A
USGS	02366500	1932-08-20	6430	A
USGS	02366500	1932-08-21	6240	A
USGS	02366500	1932-08-22	6240	A
USGS	02366500	1932-08-23	6240	A
USGS	02366500	1932-08-24	6630	A
USGS	02366500	1932-08-25	6830	A
USGS	02366500	1932-08-26	6430	A
USGS	02366500	1932-08-27	6050	A
USGS	02366500	1932-08-28	6240	A
USGS	02366500	1932-08-29	6630	A
USGS	02366500	1932-08-30	7030	A
USGS	02366500	1932-08-31	7030	A
USGS	02366500	1932-09-01	7030	A
USGS	02366500	1932-09-02	6630	A
USGS	02366500	1932-09-03	6240	A
USGS	02366500	1932-09-04	6240	A
USGS	02366500	1932-09-05	6630	A
USGS	02366500	1932-09-06	7030	A
USGS	02366500	1932-09-07	7430	A
USGS	02366500	1932-09-08	7430	A
USGS	02366500	1932-09-09	6830	A
USGS	02366500	1932-09-10	5680	A
USGS	02366500	1932-09-11	4600	A
USGS	02366500	1932-09-12	4040	A
USGS	02366500	1932-09-13	3640	A
USGS	02366500	1932-09-14	3480	A
USGS	02366500	1932-09-15	3400	A
USGS	02366500	1932-09-16	3320	A
USGS	02366500	1932-09-17	3240	A
USGS	02366500	1932-09-18	3160	A
USGS	02366500	1932-09-19	3000	A
USGS	02366500	1932-09-20	3080	A
USGS	02366500	1932-09-21	3320	A
USGS	02366500	1932-09-22	3560	A
USGS	02366500	1932-09-23	4040	A
USGS	02366500	1932-09-24	4360	A
USGS	02366500	1932-09-25	4440	A
USGS	02366500	1932-09-26	4440	A
USGS	02366500	1932-09-27	4280	A
USGS	02366500	1932-09-28	4360	A
USGS	02366500	1932-09-29	4600	A
USGS	02366500	1932-09-30	4860	A
USGS	02366500	1932-10-01	5070	A
USGS	02366500	1932-10-02	5330	A
USGS	02366500	1932-10-03	5500	A
USGS	02366500	1932-10-04	5500	A
USGS	02366500	1932-10-05	5190	A
USGS	02366500	1932-10-06	4860	A
USGS	02366500	1932-10-07	4770	A
